"Planet_number","planet_name","STAR_IDX","Mass (Earth)","relative density","RADIUS","TYPE_TERRAIN","CLIMATE TYPE"
1,"Grimclaw Upsilon",641,3,0.441,1.9,"urban:river:lakes:desert:cliff:plateau:bog:city","superheated:temperate:humid:frozen:frigid"
2,"Grimclaw Delta",641,3.21,1.235,1.38,"hill","artificial temperate:arid"
3,"Grimclaw Sigma",641,0.82,1.081,NA,"rock arche:cliff","humid:frigid:temperate:subartic"
4,"Kirei Gaios",7356,6.06,0.344,2.6,"jungle:canyons","hot:frigid"
5,"Vermilion Expanse Echoian",6170,5.15,1.392,1.55,"savanna","rocky:artificial temperate:arid"
6,"Vermilion Expanse Nyxios",6170,6.15,1.377,1.65,"plain:city","frigid:frozen"
7,"Nushagak Sirenios",2547,3.8,0.861,1.64,"rock arche:grassy hill","humid:frozen:artificial temperate"
8,"Nushagak Janusian",2547,7.7,0.948,2.01,"rocky desert:glacier","frozen:artificial temperate:temperate"
9,"Nushagak Helios",2547,9.3,1.021,2.09,"plateau:rocky canyon:cave:sea:ice cave:plain:river:rock arche","frozen:tropical:temperate:frigid:artificial temperate:humid"
10,"Acrux Nemesisian",1884,4.61,1.012,NA,"grassland:plain:glacier:field:rocky island:island","artificial temperate:temperate:humid:frigid"
11,"Shogun's Loom Duodecimal",2134,5.2,0.546,2.12,"cityscape:valley","subartic:frigid:hot:artic"
12,"Pulsar Seraph Asclepian",8178,2.08,1.073,1.25,"barren:island:rock arche:field:valley","windy:superheated:tropical:arid"
13,"Mago Gaios",7514,5.88,0.334,2.6,"rocky canyon:cliff","artic:temperate:rocky"
14,"Aldebaran Undecimal",2518,5.75,1.113,1.73,"sea:vine:lava river:desert:forest","hot:arid:tropical:superheated"
15,"Stellae Abyss Omicron",382,3.27,1.255,1.38,"canyons:hill:vine:urban","artic:frozen:rocky:frigid"
16,"Stellae Abyss Kappa",382,0.6,1.008,0.84,"rocky desert:rainforest:sea:canyons:barren:desert","frozen:artificial temperate:arid:humid:frigid"
17,"Stellae Abyss Beta",382,6.66,1.245,1.75,"rocky desert:verdant:field:urban:rock arche","superheated:arid:temperate:artic:tropical:rocky"
18,"Errai Decimal",1896,7.97,0.917,2.06,"mountain:tundra:rocky desert","artificial temperate:rocky:subartic:temperate:humid:frozen:arid"
19,"Errai Nonal",1896,1.85,1.166,1.17,"savanna:urban:jungle:reef:cityscape","superheated:frozen:hot:rocky"
20,"Errai Quartal",1896,2.59,0.984,1.38,"toxic cloudsea","tropical:subartic:superheated:artic"
21,"Errai Quintal",1896,1.82,0.967,1.23,"city:lakes:scrubland:ash:cave","tropical:artificial temperate:rocky:superheated:arid"
22,"Errai Vigesimal",1896,5.96,1.253,1.68,"mountain:reef:volcano:river:grassland","temperate:frozen:arid:subartic"
23,"Marfik Ba",9995,9.18,0.985,2.1,"bog:lakes:ocean:barren:reef","artificial temperate:superheated:rocky:arid:artic:tropical:hot"
24,"Lionrock Centaurios",4202,1.33,1.146,NA,"canyons:plateau:jungle:cityscape:vine:island:savanna","subartic:frozen:artificial temperate:artic:rocky:humid:temperate"
25,"Thoth's Nebula Quartal",4084,0.44,1.216,0.71,"forest:vine:island:hill","subartic:humid:artificial temperate:tropical:frozen"
26,"Zypheria II",291,1.78,1.226,1.13,"cityscape:urban:plain","subartic:tropical:windy:artificial temperate:frozen:arid"
27,"Izar X",2521,1.57,0.427,1.54,"acid pool","humid:superheated"
28,"Izar VI",2521,0.49,1.255,0.73,"field:sea:sinkholes:rocky desert:reef","arid:hot:windy:artificial temperate"
29,"Penumbralix Sigma",1576,2.07,0.98,1.28,"sinkholes:lava river:mountain:cityscape:rocky island:plateau","artificial temperate:temperate:superheated:humid"
30,"Seishin XI",7953,2.52,1.307,1.24,"swamp:ice cave:jungle","subartic:humid:frigid:artificial temperate"
31,"Quantumith XIII",4424,8.37,1.451,1.79,"plateau:rocky island:cliff:vine:field:cave:ocean:ash","artificial temperate:rocky:superheated:frigid:subartic"
32,"Quantumith XXI",4424,1.58,0.502,1.47,"ocean","subartic:tropical:arid"
33,"Quantumith XII",4424,3.41,0.989,1.51,"valley:rock arche:acid pool:vine","hot:frozen:frigid:subartic"
34,"Quantumith VII",4424,6.47,1.215,1.75,"island:grassland:field:sea:grassy hill","frigid:artificial temperate:temperate"
35,"Atik Yi",9532,4.19,1.157,1.54,"hill","arid"
36,"Dracozen IV",5062,0.41,1.264,0.69,"ocean:island:savanna:plateau:rock arche:cave:river:swamp:volcano:acid pool","artic:subartic:arid:superheated:tropical:artificial temperate:frozen"
37,"Komorebi Ba",4451,1.84,1.215,1.15,"desert","humid:arid:artic:hot:tropical"
38,"Komorebi Yi",4451,4.66,1.041,1.65,"rocky island:verdant","temperate:tropical:windy"
39,"Rapeto Orphean",576,1.09,1.193,0.97,"swamp:mountain:toxic cloudsea:urban:sea","humid:temperate:artic"
40,"Rapeto Chimeraean",576,1.64,1.064,1.16,"ocean","temperate:arid"
41,"Rapeto Aphroditos",576,2.2,0.898,1.35,"fungus forest:ice cave:acid pool:ocean:rock arche:plain:urban","artic:tropical:humid:frigid:subartic"
42,"Rapeto Astraeos",576,0.39,0.852,0.77,"ice cave:valley","frozen:artificial temperate"
43,"Ravenfury Delta",3342,8.45,0.961,2.06,"rocky canyon","frozen:artic:subartic:temperate:superheated"
44,"Jabbah Herculean",5153,2.25,0.098,2.85,"swamp","artic:arid:windy:frozen:tropical:frigid"
45,"Pulsar Radiance San",3749,5.06,0.939,1.75,"river","artificial temperate"
46,"Pulsar Radiance Liu",3749,0.53,1.052,NA,"desert:plain:mountain:vine:river:glacier","artificial temperate:superheated:temperate:tropical:frigid:rocky"
47,"Pulsar Radiance Shi",3749,8.13,1.185,1.9,"rock arche:swamp:plateau","frigid:frozen:hot:tropical"
48,"Uklun Aphroditos",9103,1.94,0.975,1.26,"field:reef:forest","tropical:windy:temperate:frozen"
49,"Secunda Hyadum Quintal",6629,3.27,1.314,1.36,"","windy"
50,"Secunda Hyadum Undecimal",6629,1.22,1.399,0.96,"mountain","hot:temperate:subartic:frigid"
51,"Okab Septimal",1590,3.43,0.934,1.54,"plateau:barren:urban:grassy hill:cave:rocky desert","frigid:temperate:frozen:arid"
52,"Okab Vigesimal",1590,1.77,0.857,1.27,"rock arche:desert:field","rocky:hot:artic"
53,"Okab Sextant",1590,2.53,0.736,1.51,"reef","temperate:rocky"
54,"Okab Secant",1590,4.55,0.865,1.74,"vine:acid pool:rocky canyon","artic:tropical:frozen:rocky:artificial temperate:subartic"
55,"Sakura Mirage Chi",654,1.47,0.93,1.17,"cave:field","artic:temperate:arid:superheated"
56,"Sakura Mirage Sigma",654,1.24,1.044,1.06,"river:canyons:rock arche:cliff:desert","frozen:rocky:arid:windy"
57,"Sakura Mirage Gamma",654,4.96,1.681,1.43,"verdant:desert","artificial temperate:tropical:arid"
58,"Thunderhoof Persephonian",7997,1.4,0.697,1.26,"cave:field","temperate"
59,"Talitha Prime",2222,4.94,0.566,2.06,"ocean:valley:cave:cliff","subartic:humid:frozen"
60,"Sakura's Labyrinth Nereidos",3538,8.92,0.909,2.14,"plateau:rock arche:cliff:verdant:tundra","rocky:superheated:subartic"
61,"Anubis Serenity Shi",6969,3.43,1.126,1.45,"desert","temperate:arid"
62,"Anubis Serenity Wu",6969,1.28,1.433,0.96,"grassy hill","hot"
63,"Anubis Serenity Liu",6969,6.57,1.668,1.58,"urban:fungus forest:jungle","frigid:humid"
64,"Lilii Borea Si",615,NA,1.949,0.99,"ice canyon:field:grassy hill:river:canyons:desert:island:tundra","frozen:frigid:humid:superheated:subartic"
65,"Lilii Borea Ba",615,1.24,0.952,1.09,"rock arche:cliff:urban:rocky island","artificial temperate:subartic:frozen"
66,"Dracoara Secant",1973,2.39,0.823,1.43,"canyons:plain","hot:superheated:frozen:subartic:windy:tropical"
67,"Amun-Ra Mirage IV",9645,1.13,1.395,0.93,"island:mountain:sea","hot:frigid"
68,"Amun-Ra Mirage VIII",9645,7.06,0.848,2.03,"field:savanna:scrubland","tropical:temperate:arid:hot:humid"
69,"Quasarion Persephonian",873,5.34,0.891,1.82,"rocky canyon","hot:superheated:tropical"
70,"Canopus XII",4159,7.73,1.049,1.95,"jungle:valley:sinkholes","arid:hot"
71,"Pollux XV",1468,3.67,0.709,1.73,"forest:mountain","superheated:temperate"
72,"Pollux XXIII",1468,9.23,1.135,2.01,"grassy hill:cliff:barren:ash:tundra:scrubland:sinkholes:fungus forest","superheated:arid:rocky:frozen:humid"
73,"Alterf Dionian",9046,2.51,1.362,1.23,"sea:lakes","artificial temperate:superheated:arid:tropical:frigid:hot:frozen"
74,"Alterf Sirenios",9046,5.69,1.188,1.69,"reef:ash:fungus forest:rainforest:glacier:bog:savanna","frigid:humid:artic:tropical:superheated:windy"
75,"Alterf Astraeos",9046,5.96,0.957,1.84,"ocean:valley:cityscape","artificial temperate:hot"
76,"Chara Quartal",4232,2.83,0.76,1.55,"city:lakes:field:forest:cityscape:mountain","temperate:artic:frozen:artificial temperate:frigid"
